fieldIndex, name, latitudeA, longitudeA, latitudeB, longitudeB ,latitudeC, longitudeC ,latitudeD, longitudeD
 1, 동탄 방교리 축구장,37.17358197789903,127.08645592695822,37.17450663274697,127.08665928423129,37.17460599283836,127.08594343402139,37.17369034288183,127.08573778314579
 2, 수원월드컵경기장 연습경기장,37.288707695272855,127.04017872875254,37.28941848894748,127.04100361434641,37.28984889197794,127.04041998459265,37.28914891072942,127.03959503396908
 3, 대구 스타디움 보조경기장,35.82707652624189,128.68735658007284,35.82784710142184,128.6880212256458,35.828198309703595,128.68742310988398,35.82742508157884,128.68675289224433
 4, 울산 현대중학교 운동장,35.52443532765603,129.42272739203295,35.52441199499815,129.42373805708144,35.52500481502711,129.42376103193874,35.52503185820679,129.42274383145295
 5, 경주 한수원 본사 대운동장,35.79538499045613,129.3895649659229,35.79627974013902,129.38970566121543,35.796345718068004,129.388949266288,35.79544864353425,129.38884171913656
 6, 전주대학교 인조잔디구장A,35.8106798844612,127.08799923883295,35.81161665612755,127.08773427795323,35.811478870650575,127.0869933670598,35.810549172829866,127.087217344728
 7, 건국대학교 글로컬캠퍼스 운동장,36.948573737040384,127.91129353461488,36.949352958342516,127.91196599527957,36.94969771201219,127.91132990254076,36.94891577119847,127.91066080009409
 8, 포항제철고등학교 인조구장,36.01220240759281,129.3325611596967,36.012199955560895,129.3337238923529,36.01281285932177,129.33372921655422,36.012817181735414,129.33256208003226
 9, 용인대학교 종합운동장,37.227220525337,127.16822168999715,37.22812092319056,127.16786265548028,37.22793407419981,127.16712849728646,37.22702740047678,127.16749883970628
 10, 울산 간절곶스포츠파크 주경기장,35.371697828335,129.33634460948966,35.37267323725808,129.33634800039115,35.37267868515748,129.3355743336525,35.37169790202241,129.33556862897552
 11, 천안 축구센터 제2인조잔디구장,36.82097359875331,127.14788906550586,36.82191292944646,127.14789036855419,36.8219151698472,127.14712564388013,36.820973134836514,127.14712436259434
 12, 수원 영흥공원 축구장,37.26263021432745,127.06715026863752,37.26358120837536,127.0671561039098,37.26357836913167,127.06638019796469,37.26263188199232,127.06637434660985
 13, 서울월드컵경기장 주경기장,37.56772201344559,126.89748686809281,37.56863839927701,126.89778522626268,37.56879235946206,126.897045680001,37.56787864684678,126.89674164696379
 14, 서울 효창운동장,37.54334788646645,126.96188156925376,37.54411079263954,126.96117084832753,37.54374469226142,126.96054522526555,37.54298182598008,126.96126387263423
 15, 영덕 강구대게축구장 천연잔디구장,36.362295810213034,129.38939614483942,36.36318369510331,129.38939532622234,36.36318163239027,129.3886708580993,36.36228653887489,129.38867151070806
 16, 이천 제일고등학교 축구장,37.277538009114046,127.46043163769777,37.27809268991326,127.4613991876702,37.27860183311275,127.46094771703017,37.27804895147022,127.45998016290598
 17, 태백 고원2구장,37.139692380248,129.00455395666827,37.14028471700104,129.0054641289954,37.14075493598859,129.00498932489066,37.14016446932442,129.00407355817143
 18, 전주 완산생활체육공원 축구장(신),35.767103233694364,127.10422429114848,35.76810109509592,127.10415296966961,35.76805593850713,127.10330908740967,35.76706622861512,127.10339144176416
 19, 파주 NFC 충무구장,37.77553388237134,126.68369967404325,37.77649817774146,126.68368566391572,37.776492708075565,126.68289653767573,37.77553289545947,126.68290710219712
 20, 포항 청림구장,36.00022026061422,129.42165346337597,36.000620303478264,129.4207091297481,36.00010565144317,129.42036716980485,35.99970714703665,129.42132817661636
 21, 포항 양덕1구장,36.077223353130286,129.40113406386232,36.07816122131739,129.40111000839167,36.07814796568955,129.40035458615114,36.07720833042477,129.40037638721415
 22, 포항 양덕2구장,36.07720319269361,129.40013196841184,36.07815012470649,129.4001047878135,36.07813691552138,129.39934603549239,36.07718542518515,129.39937644684719
